1 - State Code,1 - State Name,8 - Structure Number,22 - Owner Agency,3 - County Code,3 - County Name,4 - Place Code,City - InfoBridge Place Code,City - InfoBridge Place Name,27 - Year Built,29 - Average Daily Traffic,43A - Main Span Material,43B - Main Span Design,45 - Number of Spans in Main Unit,49 - Structure Length (ft.),6A - Features Intersected,7 - Facility Carried By Structure,CAT10 - Bridge Condition,Bridge Age (yr),CAT29 - Deck Area (sq. ft.),2 - Highway Agency District,9 - Location,11 - Mile Point (miles),16 - Latitude (decimal),17 - Longitude (decimal),21 - Maintenance Responsibility,37 - Historical Significance Code,98A - Neighboring State Name,98B - Neighboring State Percent Responsibility,99 - Border Bridge Structure Number,101 - Parallel Structure Designation Code,106 - Year Reconstructed,44A - Approach Spans Material,44B - Approach Spans Design,46 - Number of Approach Spans,107 - Deck Structure Type Code,108A - Wearing Surface Type Code,108B - Membrane Type Code,108C - Deck Protection Code,10 - Inventory Route - Minimum Vertical Clearance (ft.),32 - Approach Roadway Width (ft.),33 - Bridge Median Code,34 - Skew Angle (degrees),35 - Structure Flared,38 - Navigation Control Code,39 - Navigation Vertical Clearance (ft.),40 - Navigation Horizontal Clearance (ft.),47 - Inventory Route Total Horizontal Clearance (ft.),48 - Length of Maximum Span (ft.),50A - Left Curb/Sidewalk Width (ft.),50B - Right Curb/Sidewalk Width (ft.),51 - Bridge Roadway Width Curb to Curb (ft.),52 - Deck Width - Out to Out (ft.),53 - Minimum Vertical Clearance Over Bridge Roadway (ft.),54B - Minimum Vertical Underclearance (ft.),55B - Minimum Lateral Underclearance on Right (ft.),56 - Minimum Lateral Underclearance on Left (ft.),111 - Pier Abutment Protection Code,116 - Minimum Vertical Clearance - Lift Bridge (ft.),90 - Inspection Date,91 - Designated Inspection Frequency,92A - Fracture Critical Details,92B - Underwater Inspection,92C - Other Special Inspection,93A - Fracture Critical Detail Date,93B - Underwater Inspection Date,93C - Other Special Inspection Date,36A - Bridge Railings,36B - Transitions,36C - Approach Guardrail,36D - Bridge Guardrail Ends,58 - Deck Condition Rating,59 - Superstructure Condition Rating,60 - Substructure Condition Rating,61 - Channel and Channel Protection Condition Rating,62 - Culverts Condition Rating,67 - Structural Evaluation Appraisal,68 - Deck Geometry Appraisal,69 - Underclearance Appraisal Vertical and Horizontal,71 - Waterway Adequacy Appraisal,72 - Approach Alignment Appraisal,113 - Scour Critical Bridge Value,31 - Design Load Descriptor,41 - Structure Operational Status Code,63 - Operating Rating Method Code,64 - Operating Rating (US tons),65 - Inventory Rating Method Code,66 - Inventory Rating (US tons),70 - Bridge Posting Code,5A - Record Type,5B - Route Signing Prefix Code,5C - Designated Level of Service Code,5D - Route Number,5E - Directional Suffix Code,12 - Base Highway Network,19 - Bypass or Detour Length (miles),20 - Toll Status,26 - Functional Class Of Inventory Route,28A - Lanes On the Structure,28B - Lanes Under the Structure,30 - Year of Average Daily Traffic,42A - Type of Service on Bridge Code,42B - Type Of Service Under Bridge Code,100 - STRAHNET Highway Designation,102 - Direction of Traffic Code,104 - Inventory Route NHS Code,105 - Federal Lands Highways Code,109 - Average Daily Truck Traffic (Percent ADT),110 - Designated National Truck Network Code,114 - Future Average Daily Traffic,115 - Year of Future Average Daily Traffic,13A - LRS Inventory Route,13B - Subroute Number,54A - Minimum Vertical Underclearance Reference Feature,55A - Minimum Lateral Underclearance Reference Feature,75A - Type of Work Proposed,75B - Work Done By,76 - Length of Structure Improvement (ft.),94 - Bridge Improvement Cost,95 - Roadway Improvement Cost,96 - Total Project Cost,97 - Year of Improvement Cost Estimate,103 - Temporary Structure Designation Code,112 - NBIS Minimum Bridge Length,CAT23 - Condition Code,Computed - Average Daily Truck Traffic (Volume),Latest Submittal Year,Average Relative Humidity,Average Temperature,Maximum Temperature,Mean Wind Speed,Minimum Temperature,Number of Freeze-Thaw Cycles,Number of Snowfall Days,Number of Days with Measurable Precipitation,Number of Days with Temperature Below 0?C,Prevailing Wind Direction,Time of Wetness,Total Precipitation,Metropolitan Planning Organization (MPO),U.S. Congressional District,State Senate District,State House District
13,Georgia,080302000018486,U.S. Forest Service,291,Union County,0,0,No Place Code,2012,100,"Aluminum, Wrought Iron or Cast Iron",Culvert,1,24.6,BRYANT CREEK            ,FSR 33A           ,Good,10,395.6,1,NO DATA ENTERED          ,1.253,34.76984,-84.03099,64,4,,,,N,0,0,0,0,N,N,N,N,99.99,16.1,0,0,0,0,0,0,99.90000153,24.6,99.1,99.1,0,0,99.98999786,0,0,0,,0,2/2/19 0:00,24,N  ,N  ,N  ,,,,0,0,0,0,N,N,N,8,8,*,N,N,8,8,"Bridge foundations determined to be stable for assessed or calculated scour condition. Scour is determined to be within the limits of footing or piles (Example B) by assessment (i.e.,bridge foundations are on rock formations that have been determined to resist scour within the service life of the bridge), by calculations or by installation of properly designed countermeasures (see HEC 23).",0,A,5,,5,,5,1,8,0,0033A,0,0,620.7,3,9,1,0,2011,5,5,0,3,0,0,,0,150,2042,0,0,N,N,,,0,,,,,,Y,8,,2022,78,13.4,33.9,0,-7.1,,,141,76,158.63,4325,1558.15,,09 - Congressional District 9,051 - State Senate District 51,008 - State House District 8
13,Georgia,080306000018570,U.S. Forest Service,241,Rabun County,0,0,No Place Code,2010,50,"Aluminum, Wrought Iron or Cast Iron",Culvert,1,24.6,WALNUT FORK             ,FSR155            ,Good,12,444,1,Chattooga Ranger District,1.889,34.92981,-83.28863,64,4,,,,N,0,0,0,0,N,N,N,N,99.99,18,0,0,0,N,0,0,99.90000153,24.6,0,0,0,0,99.98999786,0,0,0,,0,2/2/19 0:00,24,N  ,N  ,N  ,,,,N,N,N,N,N,N,N,6,8,*,N,N,7,8,"Bridge foundations determined to be stable for assessed or calculated scour condition. Scour is determined to be within the limits of footing or piles (Example B) by assessment (i.e.,bridge foundations are on rock formations that have been determined to resist scour within the service life of the bridge), by calculations or by installation of properly designed countermeasures (see HEC 23).",0,A,5,,5,,5,1,6,0,0,0,0,620.7,3,9,1,0,0,1,5,0,3,0,0,,0,75,2042,0,0,N,N,,,0,,,,,,Y,8,,2022,78,13.7,33.6,0,-6.1,,,141,74,151.58,4453,1501.58,,09 - Congressional District 9,050 - State Senate District 50,008 - State House District 8
13,Georgia,080305000003059,U.S. Forest Service,241,Rabun County,0,0,No Place Code,1990,106,Prestressed Concrete,Slab,1,63,TALLULAH RV             ,TALLULAH RIVER RD ,Fair,32,1012.7,12,COLEMAN RIVER WMA        ,2.051,34.94998,-83.55069,64,4,,,,N,0,1,1,2,2,0,0,0,99.99,16.1,0,0,0,N,0,0,16.7,43,1,1,14.1,16.1,99.98999786,0,0,0,1,0,11/2/17 0:00,48,N  ,N  ,N  ,,,,1,0,0,0,7,7,6,6,N,6,2,N,6,6,"Bridge foundations determined to be stable for assessed or calculated scour condition. Scour is determined to be within the limits of footing or piles (Example B) by assessment (i.e.,bridge foundations are on rock formations that have been determined to resist scour within the service life of the bridge), by calculations or by installation of properly designed countermeasures (see HEC 23).",5,A,8,77.2,8,47.2,5,1,6,0,70.82,0,0,98.2,3,9,1,0,1991,1,5,0,3,0,1,20,0,159,1990,0,0,N,N,31,,0,,,83,,,Y,6,21,2022,78,13.4,33.9,0,-7.1,,,141,76,158.63,4325,1558.15,,09 - Congressional District 9,050 - State Senate District 50,008 - State House District 8
13,Georgia,000000005100670,State Highway Agency,51,Chatham County,0,78036,Tybee Island city,1962,9290,Concrete,Tee Beam,3,110.9,CHIMNEY CREEK           ,US 80/SR26        ,Fair,60,8913.6,5,12 MI E OF SAVANNAH      ,34,32.01841,-80.85094,1,5,,,,N,,0,0,0,1,6,8,8,99.99,67.9,0,0,0,0,0,0,67.9,37.1,4.9,4.9,68.2,80.4,99.98999786,0,0,0,,0,6/2/18 0:00,24,N  ,Y60,N  ,,719,,0,0,1,0,7,7,6,7,N,5,9,N,8,8,"Bridge with ""unknown"" foundation that has not been evaluated for scour. Until risk can be determined, a plan of action should be developed and implemented to reduce the risk to users from abridge failure during and immediately after a flood event (see HEC 23).",6,A,1,42,1,24.9,5,1,2,1,80,0,1,98.8,3,2,4,0,2011,5,5,2,2,1,0,4,0,13935,2031,,0,N,N,,,0,670,67,1005,,,Y,6,372,2022,,,,,,,,,,,,,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
13,Georgia,000000005150150,County Highway Agency,51,Chatham County,0,0,No Place Code,1975,490,Prestressed Concrete,Channel Beam,4,120.1,SAZARINE CREEK          ,CATALINA ROAD     ,Good,47,3309.3,5,1 MI W OF SAVANNAH BEACH ,1,32.00641,-80.86697,2,5,,,,N,,0,0,0,2,0,8,8,99.99,22,0,0,0,0,0,0,25.9,29.9,0,0,25.9,27.6,99.98999786,0,0,0,,0,6/2/18 0:00,24,N  ,Y60,N  ,,719,,0,0,0,0,7,7,7,7,N,7,5,N,8,8,"Bridge with ""unknown"" foundation that has not been evaluated for scour. Until risk can be determined, a plan of action should be developed and implemented to reduce the risk to users from abridge failure during and immediately after a flood event (see HEC 23).",4,A,2,51.9,2,35.9,5,1,4,1,230,0,1,98.8,3,9,2,0,2011,1,5,0,2,0,0,1,0,735,2031,,0,N,N,,,0,469,47,703,,,Y,7,5,2022,,,,,,,,,,,,,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
13,Georgia,000000005100660,State Highway Agency,51,Chatham County,0,0,No Place Code,1960,8220,Steel Continuous,Stringer/Multi-beam or Girder,3,1433.1,LAZERATTO CREEK         ,"US 80, SR 26      ",Fair,62,49367.6,5,10 MI SE OF SAVANNAH     ,32,32.01583,-80.88398,1,5,,,,N,,5,2,19,1,0,0,8,99.99,35.1,0,0,0,1,34.7,119.8,27.9,153.9,2,2,27.9,34.4,99.98999786,0,0,0,2,0,6/2/18 0:00,24,N  ,Y60,N  ,,919,,0,0,1,1,5,5,5,8,N,5,4,N,8,8,"Bridge with ""unknown"" foundation that has not been evaluated for scour. Until risk can be determined, a plan of action should be developed and implemented to reduce the risk to users from abridge failure during and immediately after a flood event (see HEC 23).",5,A,1,36.9,1,21.9,5,1,2,1,80,0,1,98.8,3,2,2,0,2011,1,5,2,2,1,0,1,0,12330,2031,,0,N,N,34,1,1647,5599,560,8399,,,Y,5,82,2022,,,,,,,,,,,,,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
13,Georgia,5420001P0000000,National Park Service,51,Chatham County,0,0,No Place Code,2018,395,Prestressed Concrete,Stringer/Multi-beam or Girder,13,1294.9,SOUTH CHANNEL-SAVANNAH R,     ENTRANCE ROAD,Good,4,39511.2,0,1.0 mile from Fort Pulask,0.162,32.02086,-80.899,66,5,,,,N,,0,0,0,2,1,0,0,99.99,36.7,0,0,1,0,0,0,26.9,105,0,0,26.9,30.5,99.98999786,0,0,0,1,0,4/2/18 0:00,24,N  ,Y60,N  ,,518,,1,N,N,N,7,7,7,8,N,7,5,N,8,8,"Bridge foundations determined to be stable for assessed or calculated scour condition. Scour is determined to be within the limits of footing or piles (Example B) by assessment (i.e.,bridge foundations are on rock formations that have been determined to resist scour within the service life of the bridge), by calculations or by installation of properly designed countermeasures (see HEC 23).",A,A,3,54,3,42,5,1,6,1,10,0,0,98.8,3,9,2,0,2020,1,5,0,2,0,0,1,0,587,2040,,,N,N,,,,40,4,60,2018,,Y,7,4,2022,,,,,,,,,,,,,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
13,Georgia,000000005150900,County Highway Agency,51,Chatham County,0,83168,Wilmington Island CDP,2014,4180,Concrete,Stringer/Multi-beam or Girder,3,126,BETZ CREEK              ,CR 148            ,Good,8,5042.7,5,1 MI S OF SR 26 E OF SAV.,6,32.01814,-80.9621,2,5,,,,N,,0,0,0,1,0,8,8,99.99,23.6,0,0,0,0,0,0,29.9,42,2.3,7.9,29.9,40,99.98999786,0,0,0,,0,6/2/18 0:00,24,N  ,Y60,N  ,,819,,1,1,1,1,8,8,7,8,N,7,4,N,8,8,"Bridge with ""unknown"" foundation that has not been evaluated for scour. Until risk can be determined, a plan of action should be developed and implemented to reduce the risk to users from abridge failure during and immediately after a flood event (see HEC 23).",6,A,1,66.9,1,34,5,1,5,1,4077,0,1,6.8,3,16,2,0,2011,1,5,0,2,0,0,1,0,6270,2031,,0,N,N,37,1,151.9,11248,1124,16872,2014,,Y,7,42,2022,76,20,35.7,1,-0.8,,,126,3,168.83,4432,1557.81,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
13,Georgia,000000005100650,State Highway Agency,51,Chatham County,0,0,No Place Code,1967,8020,Prestressed Concrete,Stringer/Multi-beam or Girder,62,3534.1,BULL RIVER              ,"US 80, SR 26      ",Fair,55,126384.1,5,5 MI SE OF SAVANNAH      ,27,32.03766,-80.95661,1,5,,,,N,,0,0,0,1,0,0,8,99.99,35.1,0,0,0,1,19.6,49.9,29.9,78.1,1.6,1.6,29.9,35.8,99.98999786,0,0,0,2,0,6/2/18 0:00,24,N  ,Y60,N  ,,919,,0,0,1,0,6,7,6,7,N,6,4,N,8,8,"Bridge with ""unknown"" foundation that has not been evaluated for scour. Until risk can be determined, a plan of action should be developed and implemented to reduce the risk to users from abridge failure during and immediately after a flood event (see HEC 23).",6,A,1,70,1,38.9,5,1,2,1,80,0,1,98.8,3,14,2,0,2011,1,5,2,2,1,0,1,0,12030,2031,,0,N,N,34,1,3745.1,13808,1381,20712,,,Y,6,80,2022,76,20,35.7,1,-0.8,,,126,3,168.83,4432,1557.81,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
13,Georgia,000000005100810,County Highway Agency,51,Chatham County,0,83168,Wilmington Island CDP,1963,23820,Steel Continuous,Stringer/Multi-beam or Girder,3,1308.1,TURNER CREEK            ,JOHNNY MERCER BLVD,Fair,59,98276.9,5,4 MI SW OF SAVANNAH      ,2,32.01956,-80.9919,2,5,,,,N,1991,5,2,18,1,0,0,8,99.99,24,0,0,0,0,0,0,71.9,118.1,0,0,71.9,75.1,99.98999786,0,0,0,2,0,6/2/18 0:00,24,N  ,Y60,N  ,,919,,1,1,1,0,7,7,6,8,N,6,9,N,8,8,"Bridge with ""unknown"" foundation that has not been evaluated for scour. Until risk can be determined, a plan of action should be developed and implemented to reduce the risk to users from abridge failure during and immediately after a flood event (see HEC 23).",6,A,2,45,2,30,5,1,4,1,1143,0,1,3.1,3,16,4,0,2011,1,5,0,2,0,0,1,0,35730,2031,,0,N,N,,,0,7898,790,11847,,,Y,6,238,2022,76,20,35.7,1,-0.8,,,126,3,168.83,4432,1557.81,"13198301 - Coastal Region MPO, GA",01 - Congressional District 1,001 - State Senate District 1,166 - State House District 166
